vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
680e-3,0,-0,10,14e-9,-0,342.073e-18,-282.12e-3,2.3279e-3,395.558e-15,-70.215e-18,656.966e-18,304.908e-18,304.908e-18,
700e-3,0,-0,10,14e-9,-0,344.29e-18,-282.12e-3,2.4125e-3,485.842e-15,-71.2335e-18,663.438e-18,308.144e-18,308.144e-18,
720e-3,0,-0,10,14e-9,-0,346.404e-18,-282.12e-3,2.4941e-3,595.403e-15,-72.2034e-18,669.606e-18,311.228e-18,311.228e-18,
740e-3,0,-0,10,14e-9,-0,348.423e-18,-282.12e-3,2.5729e-3,728.172e-15,-73.1284e-18,675.493e-18,314.172e-18,314.172e-18,
760e-3,0,-0,10,14e-9,-0,350.353e-18,-282.12e-3,2.6487e-3,888.851e-15,-74.0117e-18,681.12e-18,316.985e-18,316.985e-18,
780e-3,0,-0,10,14e-9,-0,352.201e-18,-282.12e-3,2.7216e-3,1.0830e-12,-74.8563e-18,686.505e-18,319.677e-18,319.677e-18,
800e-3,0,-0,10,14e-9,-0,353.973e-18,-282.12e-3,2.7917e-3,1.3175e-12,-75.6648e-18,691.665e-18,322.257e-18,322.257e-18,
0,0,-0,20,14e-9,-0,360.849e-18,-271.694e-3,327.677e-9,-34.3056e-51,-31.2185e-21,386.54e-18,146.12e-18,146.12e-18,
20e-3,0,-0,20,14e-9,-0,363.757e-18,-271.694e-3,628.002e-9,19.3431e-18,-62.92e-21,392.42e-18,149.06e-18,149.06e-18,
40e-3,0,-0,20,14e-9,-0,366.85e-18,-271.694e-3,1.2028e-6,30.7906e-18,-126.502e-21,398.734e-18,152.217e-18,152.217e-18,
60e-3,0,-0,20,14e-9,-0,370.169e-18,-271.694e-3,2.3014e-6,36.6968e-18,-253.519e-21,405.624e-18,155.662e-18,155.662e-18,
80e-3,0,-0,20,14e-9,-0,373.803e-18,-271.694e-3,4.3940e-6,39.71e-18,-505.632e-21,413.398e-18,159.549e-18,159.549e-18,
100e-3,0,-0,20,14e-9,-0,377.943e-18,-271.694e-3,8.3561e-6,43.5014e-18,-1.0004e-18,422.667e-18,164.184e-18,164.184e-18,
120e-3,0,-0,20,14e-9,-0,382.949e-18,-271.694e-3,15.7748e-6,54.1375e-18,-1.9527e-18,434.583e-18,170.142e-18,170.142e-18,
140e-3,0,-0,20,14e-9,-0,389.436e-18,-271.694e-3,29.3909e-6,82.5714e-18,-3.7219e-18,451.095e-18,178.398e-18,178.398e-18,
160e-3,0,-0,20,14e-9,-0,398.28e-18,-271.694e-3,53.5496e-6,149.296e-18,-6.8217e-18,474.983e-18,190.341e-18,190.341e-18,
180e-3,0,-0,20,14e-9,-0,410.373e-18,-271.694e-3,94.2144e-6,297.398e-18,-11.7862e-18,509.098e-18,207.399e-18,207.399e-18,
200e-3,0,-0,20,14e-9,-0,426.052e-18,-271.694e-3,157.885e-6,576.241e-18,-18.8397e-18,554.562e-18,230.131e-18,230.131e-18,
220e-3,0,-0,20,14e-9,-0,444.627e-18,-271.694e-3,249.445e-6,1.0451e-15,-27.6089e-18,609.251e-18,257.475e-18,257.475e-18,
240e-3,0,-0,20,14e-9,-0,464.644e-18,-271.694e-3,370.378e-6,1.7819e-15,-37.2609e-18,668.59e-18,287.145e-18,287.145e-18,
260e-3,0,-0,20,14e-9,-0,484.659e-18,-271.694e-3,518.788e-6,2.8769e-15,-46.9601e-18,728.018e-18,316.859e-18,316.859e-18,
280e-3,0,-0,20,14e-9,-0,503.73e-18,-271.694e-3,690.758e-6,4.4350e-15,-56.1687e-18,784.577e-18,345.138e-18,345.138e-18,
300e-3,0,-0,20,14e-9,-0,521.428e-18,-271.694e-3,881.769e-6,6.5819e-15,-64.6529e-18,836.942e-18,371.321e-18,371.321e-18,
320e-3,0,-0,20,14e-9,-0,537.653e-18,-271.694e-3,1.0875e-3,9.4707e-15,-72.3685e-18,884.822e-18,395.261e-18,395.261e-18,
340e-3,0,-0,20,14e-9,-0,552.461e-18,-271.694e-3,1.3042e-3,13.2897e-15,-79.3598e-18,928.423e-18,417.061e-18,417.061e-18,
360e-3,0,-0,20,14e-9,-0,565.976e-18,-271.694e-3,1.5287e-3,18.2699e-15,-85.7017e-18,968.135e-18,436.918e-18,436.918e-18,
380e-3,0,-0,20,14e-9,-0,578.332e-18,-271.694e-3,1.7584e-3,24.6952e-15,-91.4729e-18,1.0043e-15,455.045e-18,455.045e-18,
400e-3,0,-0,20,14e-9,-0,589.662e-18,-271.694e-3,1.9910e-3,32.9126e-15,-96.7461e-18,1.0376e-15,471.648e-18,471.648e-18,
420e-3,0,-0,20,14e-9,-0,600.085e-18,-271.694e-3,2.2247e-3,43.3462e-15,-101.585e-18,1.0681e-15,486.909e-18,486.909e-18,
440e-3,0,-0,20,14e-9,-0,609.704e-18,-271.694e-3,2.4581e-3,56.5126e-15,-106.042e-18,1.0962e-15,500.987e-18,500.987e-18,
460e-3,0,-0,20,14e-9,-0,618.612e-18,-271.694e-3,2.6898e-3,73.04e-15,-110.165e-18,1.1223e-15,514.017e-18,514.017e-18,
480e-3,0,-0,20,14e-9,-0,626.888e-18,-271.694e-3,2.9188e-3,93.6913e-15,-113.991e-18,1.1465e-15,526.119e-18,526.119e-18,
500e-3,0,-0,20,14e-9,-0,634.599e-18,-271.694e-3,3.1443e-3,119.391e-15,-117.554e-18,1.1690e-15,537.393e-18,537.393e-18,
520e-3,0,-0,20,14e-9,-0,641.804e-18,-271.694e-3,3.3656e-3,151.26e-15,-120.882e-18,1.1901e-15,547.926e-18,547.926e-18,
540e-3,0,-0,20,14e-9,-0,648.556e-18,-271.694e-3,3.5821e-3,190.65e-15,-123.998e-18,1.2098e-15,557.794e-18,557.794e-18,
560e-3,0,-0,20,14e-9,-0,654.898e-18,-271.694e-3,3.7934e-3,239.195e-15,-126.925e-18,1.2284e-15,567.063e-18,567.063e-18,
580e-3,0,-0,20,14e-9,-0,660.87e-18,-271.694e-3,3.9992e-3,298.868e-15,-129.679e-18,1.2458e-15,575.789e-18,575.789e-18,
600e-3,0,-0,20,14e-9,-0,666.506e-18,-271.694e-3,4.1992e-3,372.043e-15,-132.276e-18,1.2623e-15,584.022e-18,584.022e-18,
620e-3,0,-0,20,14e-9,-0,671.836e-18,-271.694e-3,4.3932e-3,461.579e-15,-134.731e-18,1.2779e-15,591.807e-18,591.807e-18,
640e-3,0,-0,20,14e-9,-0,676.886e-18,-271.694e-3,4.5811e-3,570.914e-15,-137.055e-18,1.2926e-15,599.181e-18,599.181e-18,
660e-3,0,-0,20,14e-9,-0,681.68e-18,-271.694e-3,4.7628e-3,704.178e-15,-139.26e-18,1.3066e-15,606.18e-18,606.18e-18,
680e-3,0,-0,20,14e-9,-0,686.239e-18,-271.694e-3,4.9383e-3,866.332e-15,-141.354e-18,1.3199e-15,612.834e-18,612.834e-18,
700e-3,0,-0,20,14e-9,-0,690.581e-18,-271.694e-3,5.1075e-3,1.0633e-12,-143.348e-18,1.3326e-15,619.169e-18,619.169e-18,
720e-3,0,-0,20,14e-9,-0,694.724e-18,-271.694e-3,5.2706e-3,1.3022e-12,-145.247e-18,1.3447e-15,625.211e-18,625.211e-18,
740e-3,0,-0,20,14e-9,-0,698.681e-18,-271.694e-3,5.4275e-3,1.5917e-12,-147.059e-18,1.3562e-15,630.98e-18,630.98e-18,
760e-3,0,-0,20,14e-9,-0,702.467e-18,-271.694e-3,5.5783e-3,1.9419e-12,-148.791e-18,1.3673e-15,636.498e-18,636.498e-18,
780e-3,0,-0,20,14e-9,-0,706.093e-18,-271.694e-3,5.7232e-3,2.3651e-12,-150.447e-18,1.3778e-15,641.78e-18,641.78e-18,
800e-3,0,-0,20,14e-9,-0,709.571e-18,-271.694e-3,5.8621e-3,2.876e-12,-152.034e-18,1.3879e-15,646.844e-18,646.844e-18,
0,0,-0,40,14e-9,-0,721.978e-18,-264.44e-3,840.902e-9,-68.6112e-51,-79.1343e-21,773.674e-18,292.537e-18,292.537e-18,
20e-3,0,-0,40,14e-9,-0,727.842e-18,-264.44e-3,1.6113e-6,38.4073e-18,-159.45e-21,785.563e-18,298.482e-18,298.482e-18,
40e-3,0,-0,40,14e-9,-0,734.11e-18,-264.44e-3,3.0853e-6,61.3359e-18,-320.411e-21,798.42e-18,304.91e-18,304.91e-18,
60e-3,0,-0,40,14e-9,-0,740.893e-18,-264.44e-3,5.8995e-6,73.7414e-18,-641.488e-21,812.629e-18,312.015e-18,312.015e-18,
