vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
440e-3,0,0,6,14e-9,0,102.062e-18,301.345e-3,902.362e-6,-1.7125e-12,-28.9765e-18,301.853e-18,119.426e-18,119.426e-18,
460e-3,0,0,6,14e-9,0,104.97e-18,301.345e-3,1.0052e-3,-2.1039e-12,-30.6775e-18,311.069e-18,124.035e-18,124.035e-18,
480e-3,0,0,6,14e-9,0,107.731e-18,301.345e-3,1.108e-3,-2.5653e-12,-32.2929e-18,319.824e-18,128.412e-18,128.412e-18,
500e-3,0,0,6,14e-9,0,110.354e-18,301.345e-3,1.2099e-3,-3.1073e-12,-33.8231e-18,328.129e-18,132.565e-18,132.565e-18,
520e-3,0,0,6,14e-9,0,112.842e-18,301.345e-3,1.3107e-3,-3.7416e-12,-35.269e-18,335.998e-18,136.499e-18,136.499e-18,
540e-3,0,0,6,14e-9,0,115.202e-18,301.345e-3,1.4100e-3,-4.4818e-12,-36.6316e-18,343.442e-18,140.221e-18,140.221e-18,
560e-3,0,0,6,14e-9,0,117.437e-18,301.345e-3,1.5075e-3,-5.3431e-12,-37.9127e-18,350.474e-18,143.737e-18,143.737e-18,
580e-3,0,0,6,14e-9,0,119.552e-18,301.345e-3,1.6031e-3,-6.3429e-12,-39.1143e-18,357.107e-18,147.054e-18,147.054e-18,
600e-3,0,0,6,14e-9,0,121.551e-18,301.345e-3,1.6966e-3,-7.5008e-12,-40.2389e-18,363.356e-18,150.178e-18,150.178e-18,
620e-3,0,0,6,14e-9,0,123.441e-18,301.345e-3,1.788e-3,-8.8392e-12,-41.2894e-18,369.235e-18,153.117e-18,153.117e-18,
640e-3,0,0,6,14e-9,0,125.224e-18,301.345e-3,1.8771e-3,-10.3833e-12,-42.2689e-18,374.76e-18,155.88e-18,155.88e-18,
660e-3,0,0,6,14e-9,0,126.906e-18,301.345e-3,1.9639e-3,-12.1616e-12,-43.1806e-18,379.949e-18,158.474e-18,158.474e-18,
680e-3,0,0,6,14e-9,0,128.493e-18,301.345e-3,2.0485e-3,-14.2064e-12,-44.028e-18,384.816e-18,160.908e-18,160.908e-18,
700e-3,0,0,6,14e-9,0,129.988e-18,301.345e-3,2.1308e-3,-16.5542e-12,-44.8146e-18,389.38e-18,163.19e-18,163.19e-18,
720e-3,0,0,6,14e-9,0,131.397e-18,301.345e-3,2.2109e-3,-19.2463e-12,-45.5437e-18,393.657e-18,165.328e-18,165.328e-18,
740e-3,0,0,6,14e-9,0,132.725e-18,301.345e-3,2.2889e-3,-22.3291e-12,-46.2189e-18,397.662e-18,167.331e-18,167.331e-18,
760e-3,0,0,6,14e-9,0,133.975e-18,301.345e-3,2.3647e-3,-25.8551e-12,-46.8435e-18,401.412e-18,169.206e-18,169.206e-18,
780e-3,0,0,6,14e-9,0,135.153e-18,301.345e-3,2.4383e-3,-29.8837e-12,-47.4207e-18,404.922e-18,170.961e-18,170.961e-18,
