it,Gain,UGF,BW,Pole_2,Power,CMRR,SR,vds_0,vds_1,vds_2,vds_sat_0,vds_sat_1,vds_sat_2,TEs_0,TEs_1,TEs_2,Fins_0,Fins_1,Fins_2,I_s,I_tail
46,22.341673531092322,9986193.008193245,762634.203428119,136918592161.7801,2.4095468161276922e-05,49.59281800437182,5.019348735877583,0.28528528528528524,0.5623623623623624,0.35235235235235235,0.22857142857142856,0.08,0.1,8.75,25.0,20.0,1.7843245329018673,15.722000207094364,6.95256730164712,2.3255623171148873e-05,2.01068497241794e-05
47,22.672050504535335,9984617.52582119,734055.5186732727,435492556829.50165,3.3459264947783554e-05,35.83858130323971,6.970384248019946,0.21961961961961957,0.35095095095095086,0.6294294294294295,0.16,0.1111111111111111,0.4,12.5,18.0,5.0,5.354470147844913,6.675306349431221,0.4727193965810284,3.3662195099467524e-05,2.792565182589819e-05
48,22.313660120017076,10000413.13376471,766187.2766714812,373127489012.6793,3.3512241104127264e-05,40.554847251598105,6.981424352640195,0.2244244244244244,0.47187187187187174,0.5037037037037038,0.16,0.1111111111111111,0.22857142857142856,12.5,18.0,8.75,5.3266091531968796,6.501351841394806,1.1450220301077654,3.348704009596362e-05,2.792562527205045e-05
49,21.772722212490308,10001464.591217564,815506.6204954301,284200049725.4608,3.3515946918487625e-05,43.21374960901055,6.982164366440183,0.2268268268268268,0.5383383383383383,0.43483483483483487,0.16,0.1111111111111111,0.16,12.5,18.0,12.5,5.312944292752749,6.409235979546603,2.443839085160037,3.3401132585869e-05,2.7925652482961227e-05
50,21.208858922579324,10005212.113550916,870529.2219674976,202640567595.53372,3.352888663931501e-05,44.994787420192154,6.984784018321058,0.22842842842842837,0.5831831831831832,0.3883883883883884,0.16,0.1111111111111111,0.12307692307692308,12.5,18.0,16.25,5.303942876858301,6.356329785175349,4.88999782498259,3.3344542968288946e-05,2.7925732438689643e-05
51,22.94865946392383,10002553.583224203,712324.5515695988,436274816062.2025,3.0549389404048064e-05,36.776971041986236,6.3641305386461475,0.2356356356356356,0.33493493493493487,0.6294294294294295,0.16,0.10126582278481013,0.4,12.5,19.75,5.0,4.797881357964796,8.363409318209845,0.4308341831326291,3.0163062614311738e-05,2.5451304684923756e-05
52,22.66995752691326,9977584.013929266,733715.2013152349,372275588434.94495,3.0473138115273495e-05,41.503460553332346,6.348261264888147,0.23963963963963958,0.45665665665665656,0.5037037037037038,0.16,0.10126582278481013,0.22857142857142856,12.5,19.75,8.75,4.778459516748434,8.002847479966084,1.0435667601744716,3.0040962426960952e-05,2.545126078339058e-05
53,22.183445634428708,9985405.497800844,776592.915087155,283743508922.1801,3.049716939585743e-05,44.19818823705606,6.353244372452111,0.242042042042042,0.5231231231231231,0.43483483483483487,0.16,0.10126582278481013,0.16,12.5,19.75,12.5,4.767035748300954,7.885865764950407,2.2273007273645495,2.9969144093562454e-05,2.545127724043911e-05
54,21.661007369996575,9993948.976362491,825442.3735547761,202412142674.82874,3.052357452529451e-05,46.008710550096055,6.358684082555554,0.2436436436436436,0.567967967967968,0.3883883883883884,0.16,0.10126582278481013,0.12307692307692308,12.5,19.75,16.25,4.759518350310026,7.816795187441095,4.456713903896039,2.9921884119965854e-05,2.5451340571185603e-05
55,21.135225766857005,9981982.682774585,875902.0116137945,136861767724.90677,3.0487656404009107e-05,47.3131051042473,6.3510745201969625,0.2444444444444444,0.6032032032032031,0.35235235235235235,0.16,0.10126582278481013,0.1,12.5,19.75,20.0,4.75580458071459,7.70439612654977,8.800637929779652,2.9898536592904493e-05,2.5451476649362477e-05
56,23.209769773403263,10010549.907286346,691782.3008603314,436623548056.34784,2.8085352866376875e-05,37.525715377392366,5.850751978910536,0.25005005005005,0.3205205205205205,0.6294294294294295,0.16,0.09302325581395349,0.4,12.5,21.5,5.0,4.345051245144579,10.508359217159954,0.3957678336922561,2.7316234602617024e-05,2.337977837912876e-05
57,22.95350040298427,10023613.918205176,713426.6204258485,373992919161.00665,2.8121996121962514e-05,42.27437584410631,5.85840433620296,0.2548548548548548,0.4414414414414414,0.5037037037037038,0.16,0.09302325581395349,0.22857142857142856,12.5,21.5,8.75,4.325278219647328,10.216195595651785,0.9586285971607482,2.7191926608806822e-05,2.337972744232959e-05
58,22.544582093956308,10000509.026564617,746093.0620434829,284172513716.8286,2.805727674771462e-05,45.00974455624239,5.844911613452647,0.2564564564564564,0.5087087087087087,0.43483483483483487,0.16,0.09302325581395349,0.16,12.5,21.5,12.5,4.318779416851245,9.879747978458552,2.0460145082425023,2.715107028472726e-05,2.3379726791027776e-05
59,22.059491248122526,10012735.912972666,789911.0684925682,202792385982.6239,2.809183890925344e-05,46.848912641173,5.852062120102651,0.25805805805805804,0.5535535535535535,0.3883883883883884,0.16,0.09302325581395349,0.12307692307692308,12.5,21.5,16.25,4.312330180739149,9.795975923164194,4.093968068850867,2.7110525573812156e-05,2.337977663695081e-05
60,21.569529445403766,9992550.655897427,834064.9789804182,137006313450.13496,2.803573373890868e-05,48.18486774235442,5.840269346742772,0.25885885885885884,0.5887887887887888,0.35235235235235235,0.16,0.09302325581395349,0.1,12.5,21.5,20.0,4.309135859308808,9.643936324317472,8.084322012994965,2.7090443685552524e-05,2.3379888433249082e-05
61,23.448985623942498,10013708.164616188,673202.3900217379,436761266705.817,2.5979731488593726e-05,38.15328004872001,5.412029504134322,0.2636636636636636,0.3069069069069069,0.6294294294294295,0.16,0.08602150537634409,0.4,12.5,23.25,5.0,3.9671285930067035,13.397323676629897,0.3659808021490738,2.4940330788139015e-05,2.162012502490179e-05
62,23.25994341483682,9985469.929620381,686074.5942275794,372569638956.3108,2.590642414070886e-05,42.92829097654196,5.396791884125544,0.26766766766766764,0.4286286286286285,0.5037037037037038,0.16,0.08602150537634409,0.22857142857142856,12.5,23.25,8.75,3.952615531841081,12.758695303166899,0.8864773155786279,2.484909085534299e-05,2.1620049812222462e-05
63,22.872593837975575,10008024.769165175,718983.0957089798,284385931667.57367,2.5965024778963233e-05,45.6988273209852,5.40899084935275,0.27007007007007006,0.4950950950950951,0.43483483483483487,0.16,0.08602150537634409,0.16,12.5,23.25,12.5,3.9440133282294516,12.56313009553077,1.8920207496988652,2.4795010984083166e-05,2.1620046208231536e-05
64,22.446284013539728,9976993.307142597,752810.1746719922,202068258536.55066,2.5884720847434893e-05,47.5709929924067,5.392228476637038,0.27087087087087086,0.5407407407407406,0.3883883883883884,0.16,0.08602150537634409,0.12307692307692308,12.5,23.25,16.25,3.941168053706826,12.209229602818127,3.785831790543156,2.4777123465160178e-05,2.1620076209536945e-05
65,21.96604535797583,10011144.802917583,798328.2087312374,137260956971.80457,2.597377981952518e-05,48.93300790525166,5.410687752200216,0.2724724724724724,0.5751751751751752,0.35235235235235235,0.16,0.08602150537634409,0.1,12.5,23.25,20.0,3.9355094403112827,12.25257127873618,7.475846748569113,2.47415491986401e-05,2.162017577289231e-05
66,23.669181243037862,10014418.472099176,656397.1294554521,436792218478.76385,2.41630507484038e-05,38.70732184280443,5.033478201724707,0.27727727727727725,0.29329329329329323,0.6294294294294295,0.16,0.08,0.4,12.5,25.0,5.0,3.64439075243302,17.6069662331308,0.3403647976657167,2.2911359880579694e-05,2.0106872919008436e-05
