vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
440e-3,0,-0,6,14e-9,-0,194.682e-18,-365.742e-3,349.41e-6,15.101e-15,-28.0641e-18,325.097e-18,148.868e-18,148.868e-18
460e-3,0,-0,6,14e-9,-0,198.416e-18,-365.742e-3,411.822e-6,20.1597e-15,-29.9769e-18,336.39e-18,154.515e-18,154.515e-18
480e-3,0,-0,6,14e-9,-0,201.809e-18,-365.742e-3,476.386e-6,26.4996e-15,-31.7188e-18,346.659e-18,159.65e-18,159.65e-18
500e-3,0,-0,6,14e-9,-0,204.913e-18,-365.742e-3,542.454e-6,34.3879e-15,-33.3162e-18,356.063e-18,164.352e-18,164.352e-18
520e-3,0,-0,6,14e-9,-0,207.773e-18,-365.742e-3,609.452e-6,44.1443e-15,-34.79e-18,364.729e-18,168.685e-18,168.684e-18
540e-3,0,-0,6,14e-9,-0,210.421e-18,-365.742e-3,676.868e-6,56.1514e-15,-36.1574e-18,372.76e-18,172.7e-18,172.7e-18
560e-3,0,-0,6,14e-9,-0,212.886e-18,-365.742e-3,744.256e-6,70.8657e-15,-37.432e-18,380.24e-18,176.44e-18,176.44e-18
580e-3,0,-0,6,14e-9,-0,215.191e-18,-365.742e-3,811.225e-6,88.8317e-15,-38.625e-18,387.235e-18,179.938e-18,179.938e-18
600e-3,0,-0,6,14e-9,-0,217.354e-18,-365.742e-3,877.438e-6,110.698e-15,-39.7456e-18,393.803e-18,183.221e-18,183.221e-18
620e-3,0,-0,6,14e-9,-0,219.391e-18,-365.742e-3,942.608e-6,137.236e-15,-40.8016e-18,399.989e-18,186.314e-18,186.314e-18
640e-3,0,-0,6,14e-9,-0,221.315e-18,-365.742e-3,1.0064e-3,169.364e-15,-41.7995e-18,405.832e-18,189.236e-18,189.236e-18
660e-3,0,-0,6,14e-9,-0,223.137e-18,-365.742e-3,1.0689e-3,208.172e-15,-42.7447e-18,411.367e-18,192.004e-18,192.004e-18
680e-3,0,-0,6,14e-9,-0,224.867e-18,-365.742e-3,1.1296e-3,254.956e-15,-43.6421e-18,416.622e-18,194.631e-18,194.631e-18
700e-3,0,-0,6,14e-9,-0,226.513e-18,-365.742e-3,1.1886e-3,311.254e-15,-44.4958e-18,421.621e-18,197.13e-18,197.13e-18
720e-3,0,-0,6,14e-9,-0,228.082e-18,-365.742e-3,1.2457e-3,378.89e-15,-45.3093e-18,426.386e-18,199.513e-18,199.513e-18
740e-3,0,-0,6,14e-9,-0,229.58e-18,-365.742e-3,1.3009e-3,460.028e-15,-46.0859e-18,430.936e-18,201.788e-18,201.788e-18
760e-3,0,-0,6,14e-9,-0,231.014e-18,-365.742e-3,1.3541e-3,557.233e-15,-46.8284e-18,435.288e-18,203.964e-18,203.964e-18
780e-3,0,-0,6,14e-9,-0,232.387e-18,-365.742e-3,1.4053e-3,673.546e-15,-47.5391e-18,439.456e-18,206.048e-18,206.048e-18
800e-3,0,-0,6,14e-9,-0,233.705e-18,-365.742e-3,1.4544e-3,812.567e-15,-48.2204e-18,443.454e-18,208.047e-18,208.047e-18
0,0,-0,10,14e-9,-0,209.157e-18,-363.373e-3,5.2441e-9,-17.2549e-51,-1.1855e-21,217.655e-18,86.0277e-18,86.0277e-18
20e-3,0,-0,10,14e-9,-0,210.713e-18,-363.373e-3,10.1684e-9,10.9205e-18,-2.3188e-21,220.77e-18,87.585e-18,87.585e-18
40e-3,0,-0,10,14e-9,-0,212.343e-18,-363.373e-3,19.7163e-9,17.2732e-18,-4.5356e-21,224.035e-18,89.2174e-18,89.2174e-18
60e-3,0,-0,10,14e-9,-0,214.039e-18,-363.373e-3,38.2276e-9,20.1316e-18,-8.8716e-21,227.435e-18,90.9176e-18,90.9176e-18
80e-3,0,-0,10,14e-9,-0,215.791e-18,-363.373e-3,74.1119e-9,20.4233e-18,-17.3516e-21,230.955e-18,92.6776e-18,92.6776e-18
100e-3,0,-0,10,14e-9,-0,217.587e-18,-363.373e-3,143.656e-9,19.0101e-18,-33.9287e-21,234.582e-18,94.491e-18,94.491e-18
120e-3,0,-0,10,14e-9,-0,219.423e-18,-363.373e-3,278.361e-9,16.821e-18,-66.3059e-21,238.319e-18,96.3594e-18,96.3594e-18
140e-3,0,-0,10,14e-9,-0,221.305e-18,-363.373e-3,539.022e-9,15.1047e-18,-129.429e-21,242.207e-18,98.3037e-18,98.3037e-18
160e-3,0,-0,10,14e-9,-0,223.263e-18,-363.373e-3,1.0424e-6,16.0008e-18,-252.055e-21,246.37e-18,100.385e-18,100.385e-18
180e-3,0,-0,10,14e-9,-0,225.382e-18,-363.373e-3,2.0110e-6,25.1412e-18,-488.636e-21,251.08e-18,102.74e-18,102.74e-18
200e-3,0,-0,10,14e-9,-0,227.833e-18,-363.373e-3,3.8619e-6,55.6111e-18,-939.108e-21,256.885e-18,105.642e-18,105.642e-18
220e-3,0,-0,10,14e-9,-0,230.934e-18,-363.373e-3,7.3525e-6,117.473e-18,-1.7762e-18,264.76e-18,109.58e-18,109.58e-18
240e-3,0,-0,10,14e-9,-0,235.18e-18,-363.373e-3,13.7844e-6,236.261e-18,-3.2659e-18,276.231e-18,115.315e-18,115.315e-18
260e-3,0,-0,10,14e-9,-0,241.177e-18,-363.373e-3,25.1835e-6,458.9e-18,-5.7344e-18,293.162e-18,123.781e-18,123.781e-18
280e-3,0,-0,10,14e-9,-0,249.349e-18,-363.373e-3,44.2299e-6,859.682e-18,-9.4166e-18,316.87e-18,135.635e-18,135.635e-18
300e-3,0,-0,10,14e-9,-0,259.509e-18,-363.373e-3,73.6798e-6,1.5406e-15,-14.2302e-18,346.818e-18,150.609e-18,150.609e-18
320e-3,0,-0,10,14e-9,-0,270.779e-18,-363.373e-3,115.447e-6,2.6232e-15,-19.7235e-18,380.344e-18,167.372e-18,167.372e-18
340e-3,0,-0,10,14e-9,-0,282.082e-18,-363.373e-3,170.034e-6,4.2380e-15,-25.327e-18,414.157e-18,184.278e-18,184.278e-18
360e-3,0,-0,10,14e-9,-0,292.671e-18,-363.373e-3,236.709e-6,6.5241e-15,-30.6329e-18,445.947e-18,200.174e-18,200.174e-18
380e-3,0,-0,10,14e-9,-0,302.243e-18,-363.373e-3,314.055e-6,9.6364e-15,-35.4633e-18,474.751e-18,214.576e-18,214.576e-18
400e-3,0,-0,10,14e-9,-0,310.78e-18,-363.373e-3,400.444e-6,13.7555e-15,-39.7938e-18,500.488e-18,227.444e-18,227.444e-18
420e-3,0,-0,10,14e-9,-0,318.39e-18,-363.373e-3,494.279e-6,19.0976e-15,-43.669e-18,523.458e-18,238.929e-18,238.929e-18
440e-3,0,-0,10,14e-9,-0,325.209e-18,-363.373e-3,594.086e-6,25.9236e-15,-47.1522e-18,544.061e-18,249.231e-18,249.231e-18
460e-3,0,-0,10,14e-9,-0,331.362e-18,-363.373e-3,698.536e-6,34.5476e-15,-50.3042e-18,562.672e-18,258.536e-18,258.536e-18
480e-3,0,-0,10,14e-9,-0,336.958e-18,-363.373e-3,806.438e-6,45.3478e-15,-53.1774e-18,579.609e-18,267.005e-18,267.005e-18
500e-3,0,-0,10,14e-9,-0,342.082e-18,-363.373e-3,916.729e-6,58.7777e-15,-55.8142e-18,595.132e-18,274.766e-18,274.766e-18
520e-3,0,-0,10,14e-9,-0,346.805e-18,-363.373e-3,1.0284e-3,75.3804e-15,-58.2489e-18,609.446e-18,281.923e-18,281.923e-18
540e-3,0,-0,10,14e-9,-0,351.182e-18,-363.373e-3,1.1408e-3,95.8052e-15,-60.509e-18,622.721e-18,288.56e-18,288.56e-18
560e-3,0,-0,10,14e-9,-0,355.258e-18,-363.373e-3,1.2530e-3,120.827e-15,-62.6168e-18,635.09e-18,294.745e-18,294.745e-18
580e-3,0,-0,10,14e-9,-0,359.072e-18,-363.373e-3,1.3644e-3,151.37e-15,-64.5907e-18,646.664e-18,300.532e-18,300.532e-18
600e-3,0,-0,10,14e-9,-0,362.652e-18,-363.373e-3,1.4746e-3,188.535e-15,-66.4455e-18,657.534e-18,305.967e-18,305.967e-18
620e-3,0,-0,10,14e-9,-0,366.025e-18,-363.373e-3,1.5829e-3,233.631e-15,-68.194e-18,667.777e-18,311.088e-18,311.088e-18
640e-3,0,-0,10,14e-9,-0,369.211e-18,-363.373e-3,1.6891e-3,288.216e-15,-69.8467e-18,677.456e-18,315.928e-18,315.928e-18
660e-3,0,-0,10,14e-9,-0,372.23e-18,-363.373e-3,1.7927e-3,354.14e-15,-71.4127e-18,686.625e-18,320.513e-18,320.513e-18
680e-3,0,-0,10,14e-9,-0,375.097e-18,-363.373e-3,1.8936e-3,433.603e-15,-72.8998e-18,695.333e-18,324.867e-18,324.867e-18
700e-3,0,-0,10,14e-9,-0,377.825e-18,-363.373e-3,1.9915e-3,529.214e-15,-74.3148e-18,703.619e-18,329.01e-18,329.01e-18
720e-3,0,-0,10,14e-9,-0,380.426e-18,-363.373e-3,2.0863e-3,644.068e-15,-75.6635e-18,711.519e-18,332.96e-18,332.96e-18
740e-3,0,-0,10,14e-9,-0,382.911e-18,-363.373e-3,2.1779e-3,781.837e-15,-76.9512e-18,719.064e-18,336.732e-18,336.732e-18
760e-3,0,-0,10,14e-9,-0,385.288e-18,-363.373e-3,2.2661e-3,946.875e-15,-78.1824e-18,726.281e-18,340.341e-18,340.341e-18
780e-3,0,-0,10,14e-9,-0,387.566e-18,-363.373e-3,2.3510e-3,1.1443e-12,-79.3613e-18,733.195e-18,343.798e-18,343.798e-18
800e-3,0,-0,10,14e-9,-0,389.752e-18,-363.373e-3,2.4325e-3,1.3803e-12,-80.4915e-18,739.827e-18,347.114e-18,347.114e-18
0,0,-0,20,14e-9,-0,418.229e-18,-353.14e-3,15.6246e-9,-34.5097e-51,-3.3268e-21,435.143e-18,171.972e-18,171.972e-18
20e-3,0,-0,20,14e-9,-0,421.339e-18,-353.14e-3,30.2961e-9,21.9938e-18,-6.5069e-21,441.369e-18,175.085e-18,175.085e-18
40e-3,0,-0,20,14e-9,-0,424.599e-18,-353.14e-3,58.7422e-9,34.8282e-18,-12.7271e-21,447.902e-18,178.351e-18,178.351e-18
60e-3,0,-0,20,14e-9,-0,427.994e-18,-353.14e-3,113.89e-9,40.6852e-18,-24.8924e-21,454.718e-18,181.759e-18,181.759e-18
80e-3,0,-0,20,14e-9,-0,431.509e-18,-353.14e-3,220.781e-9,41.4867e-18,-48.6785e-21,461.794e-18,185.297e-18,185.297e-18
100e-3,0,-0,20,14e-9,-0,435.128e-18,-353.14e-3,427.89e-9,39.0942e-18,-95.1575e-21,469.125e-18,188.963e-18,188.963e-18
120e-3,0,-0,20,14e-9,-0,438.852e-18,-353.14e-3,828.883e-9,35.6549e-18,-185.863e-21,476.755e-18,192.777e-18,192.777e-18
140e-3,0,-0,20,14e-9,-0,442.716e-18,-353.14e-3,1.6041e-6,34.2767e-18,-362.427e-21,484.835e-18,196.818e-18,196.818e-18
160e-3,0,-0,20,14e-9,-0,446.826e-18,-353.14e-3,3.0990e-6,40.501e-18,-704.403e-21,493.741e-18,201.27e-18,201.27e-18
180e-3,0,-0,20,14e-9,-0,451.427e-18,-353.14e-3,5.9667e-6,67.9356e-18,-1.3604e-18,504.254e-18,206.527e-18,206.527e-18
200e-3,0,-0,20,14e-9,-0,456.991e-18,-353.14e-3,11.4147e-6,148.211e-18,-2.5963e-18,517.853e-18,213.327e-18,213.327e-18
220e-3,0,-0,20,14e-9,-0,464.324e-18,-353.14e-3,21.5836e-6,311.328e-18,-4.8494e-18,537.025e-18,222.913e-18,222.913e-18
240e-3,0,-0,20,14e-9,-0,474.564e-18,-353.14e-3,39.9915e-6,624.434e-18,-8.7315e-18,565.271e-18,237.035e-18,237.035e-18
260e-3,0,-0,20,14e-9,-0,488.837e-18,-353.14e-3,71.7212e-6,1.2044e-15,-14.8542e-18,606.061e-18,257.43e-18,257.43e-18
280e-3,0,-0,20,14e-9,-0,507.45e-18,-353.14e-3,122.752e-6,2.2249e-15,-23.4127e-18,660.404e-18,284.602e-18,284.602e-18
300e-3,0,-0,20,14e-9,-0,529.262e-18,-353.14e-3,198.218e-6,3.9074e-15,-33.8405e-18,724.885e-18,316.842e-18,316.842e-18
320e-3,0,-0,20,14e-9,-0,552.157e-18,-353.14e-3,300.64e-6,6.5009e-15,-45.0363e-18,793.065e-18,350.933e-18,350.933e-18
340e-3,0,-0,20,14e-9,-0,574.237e-18,-353.14e-3,429.54e-6,10.2702e-15,-55.9848e-18,859.122e-18,383.961e-18,383.961e-18
360e-3,0,-0,20,14e-9,-0,594.483e-18,-353.14e-3,582.39e-6,15.5028e-15,-66.1154e-18,919.876e-18,414.338e-18,414.338e-18
380e-3,0,-0,20,14e-9,-0,612.628e-18,-353.14e-3,755.782e-6,22.528e-15,-75.252e-18,974.438e-18,441.619e-18,441.619e-18
400e-3,0,-0,20,14e-9,-0,628.794e-18,-353.14e-3,946.188e-6,31.7359e-15,-83.4314e-18,1.0231e-15,465.965e-18,465.965e-18
420e-3,0,-0,20,14e-9,-0,643.239e-18,-353.14e-3,1.1502e-3,43.5961e-15,-90.7679e-18,1.0666e-15,487.747e-18,487.747e-18
440e-3,0,-0,20,14e-9,-0,656.23e-18,-353.14e-3,1.3650e-3,58.6747e-15,-97.3871e-18,1.1059e-15,507.356e-18,507.356e-18
460e-3,0,-0,20,14e-9,-0,667.999e-18,-353.14e-3,1.5878e-3,77.6537e-15,-103.401e-18,1.1414e-15,525.14e-18,525.14e-18
480e-3,0,-0,20,14e-9,-0,678.741e-18,-353.14e-3,1.8162e-3,101.353e-15,-108.904e-18,1.1739e-15,541.385e-18,541.385e-18
500e-3,0,-0,20,14e-9,-0,688.61e-18,-353.14e-3,2.0481e-3,130.754e-15,-113.972e-18,1.2038e-15,556.321e-18,556.321e-18
520e-3,0,-0,20,14e-9,-0,697.731e-18,-353.14e-3,2.2816e-3,167.032e-15,-118.665e-18,1.2314e-15,570.135e-18,570.135e-18
540e-3,0,-0,20,14e-9,-0,706.205e-18,-353.14e-3,2.5151e-3,211.593e-15,-123.032e-18,1.2571e-15,582.976e-18,582.976e-18
560e-3,0,-0,20,14e-9,-0,714.113e-18,-353.14e-3,2.7472e-3,266.111e-15,-127.115e-18,1.2811e-15,594.967e-18,594.967e-18
580e-3,0,-0,20,14e-9,-0,721.524e-18,-353.14e-3,2.9766e-3,332.586e-15,-130.945e-18,1.3036e-15,606.208e-18,606.208e-18
600e-3,0,-0,20,14e-9,-0,728.493e-18,-353.14e-3,3.2024e-3,413.394e-15,-134.55e-18,1.3247e-15,616.782e-18,616.782e-18
620e-3,0,-0,20,14e-9,-0,735.067e-18,-353.14e-3,3.4236e-3,511.366e-15,-137.953e-18,1.3447e-15,626.759e-18,626.759e-18
640e-3,0,-0,20,14e-9,-0,741.285e-18,-353.14e-3,3.6396e-3,629.869e-15,-141.174e-18,1.3636e-15,636.199e-18,636.199e-18
660e-3,0,-0,20,14e-9,-0,747.183e-18,-353.14e-3,3.8497e-3,772.901e-15,-144.23e-18,1.3815e-15,645.152e-18,645.152e-18
680e-3,0,-0,20,14e-9,-0,752.788e-18,-353.14e-3,4.0537e-3,945.211e-15,-147.134e-18,1.3985e-15,653.662e-18,653.662e-18
700e-3,0,-0,20,14e-9,-0,758.127e-18,-353.14e-3,4.2510e-3,1.1524e-12,-149.9e-18,1.4147e-15,661.767e-18,661.767e-18
720e-3,0,-0,20,14e-9,-0,763.222e-18,-353.14e-3,4.4415e-3,1.4012e-12,-152.539e-18,1.4302e-15,669.5e-18,669.5e-18
740e-3,0,-0,20,14e-9,-0,768.092e-18,-353.14e-3,4.6250e-3,1.6996e-12,-155.06e-18,1.4449e-15,676.892e-18,676.892e-18
760e-3,0,-0,20,14e-9,-0,772.755e-18,-353.14e-3,4.8014e-3,2.0569e-12,-157.473e-18,1.4591e-15,683.967e-18,683.967e-18
780e-3,0,-0,20,14e-9,-0,777.225e-18,-353.14e-3,4.9708e-3,2.4843e-12,-159.784e-18,1.4727e-15,690.748e-18,690.748e-18
800e-3,0,-0,20,14e-9,-0,781.517e-18,-353.14e-3,5.1331e-3,2.9949e-12,-162.001e-18,1.4857e-15,697.258e-18,697.258e-18
0,0,-0,40,14e-9,-0,836.635e-18,-346.431e-3,39.5253e-9,-69.0195e-51,-8.3094e-21,870.644e-18,344.122e-18,344.122e-18
20e-3,0,-0,40,14e-9,-0,842.866e-18,-346.431e-3,76.6389e-9,43.7195e-18,-16.2521e-21,883.122e-18,350.361e-18,350.361e-18
40e-3,0,-0,40,14e-9,-0,849.4e-18,-346.431e-3,148.595e-9,69.2383e-18,-31.7871e-21,896.222e-18,356.911e-18,356.911e-18
60e-3,0,-0,40,14e-9,-0,856.21e-18,-346.431e-3,288.087e-9,80.9491e-18,-62.1672e-21,909.903e-18,363.751e-18,363.751e-18
80e-3,0,-0,40,14e-9,-0,863.267e-18,-346.431e-3,558.435e-9,82.785e-18,-121.557e-21,924.136e-18,370.868e-18,370.868e-18
100e-3,0,-0,40,14e-9,-0,870.554e-18,-346.431e-3,1.0821e-6,78.6849e-18,-237.565e-21,938.941e-18,378.271e-18,378.271e-18
