vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
440e-3,0,0,6,14e-9,0,104.888e-18,359.81e-3,400.383e-6,-1.5427e-12,-27.067e-18,305.268e-18,120.234e-18,120.234e-18
460e-3,0,0,6,14e-9,0,108.886e-18,359.81e-3,473.12e-6,-1.9737e-12,-29.3678e-18,317.867e-18,126.533e-18,126.533e-18
480e-3,0,0,6,14e-9,0,112.654e-18,359.81e-3,548.101e-6,-2.4886e-12,-31.5544e-18,329.776e-18,132.488e-18,132.488e-18
500e-3,0,0,6,14e-9,0,116.215e-18,359.81e-3,624.438e-6,-3.0993e-12,-33.6318e-18,341.053e-18,138.126e-18,138.126e-18
520e-3,0,0,6,14e-9,0,119.587e-18,359.81e-3,701.374e-6,-3.8194e-12,-35.6027e-18,351.737e-18,143.469e-18,143.469e-18
540e-3,0,0,6,14e-9,0,122.78e-18,359.81e-3,778.275e-6,-4.6642e-12,-37.4688e-18,361.857e-18,148.528e-18,148.528e-18
560e-3,0,0,6,14e-9,0,125.805e-18,359.81e-3,854.628e-6,-5.6508e-12,-39.2317e-18,371.432e-18,153.316e-18,153.316e-18
580e-3,0,0,6,14e-9,0,128.668e-18,359.81e-3,930.022e-6,-6.7988e-12,-40.893e-18,380.481e-18,157.84e-18,157.84e-18
600e-3,0,0,6,14e-9,0,131.377e-18,359.81e-3,1.0041e-3,-8.1302e-12,-42.4546e-18,389.021e-18,162.111e-18,162.111e-18
620e-3,0,0,6,14e-9,0,133.937e-18,359.81e-3,1.0767e-3,-9.6696e-12,-43.919e-18,397.07e-18,166.135e-18,166.135e-18
640e-3,0,0,6,14e-9,0,136.355e-18,359.81e-3,1.1476e-3,-11.4449e-12,-45.2891e-18,404.646e-18,169.923e-18,169.923e-18
660e-3,0,0,6,14e-9,0,138.636e-18,359.81e-3,1.2167e-3,-13.4872e-12,-46.5684e-18,411.767e-18,173.484e-18,173.484e-18
680e-3,0,0,6,14e-9,0,140.787e-18,359.81e-3,1.2839e-3,-15.8316e-12,-47.7604e-18,418.454e-18,176.827e-18,176.827e-18
700e-3,0,0,6,14e-9,0,142.814e-18,359.81e-3,1.3491e-3,-18.5174e-12,-48.8692e-18,424.725e-18,179.962e-18,179.962e-18
720e-3,0,0,6,14e-9,0,144.723e-18,359.81e-3,1.4124e-3,-21.5887e-12,-49.8988e-18,430.602e-18,182.901e-18,182.901e-18
740e-3,0,0,6,14e-9,0,146.52e-18,359.81e-3,1.4737e-3,-25.0949e-12,-50.8535e-18,436.105e-18,185.652e-18,185.652e-18
760e-3,0,0,6,14e-9,0,148.21e-18,359.81e-3,1.5331e-3,-29.0912e-12,-51.7377e-18,441.255e-18,188.227e-18,188.227e-18
780e-3,0,0,6,14e-9,0,149.801e-18,359.81e-3,1.5906e-3,-33.6396e-12,-52.5554e-18,446.072e-18,190.636e-18,190.636e-18
800e-3,0,0,6,14e-9,0,151.297e-18,359.81e-3,1.6463e-3,-38.8094e-12,-53.3108e-18,450.575e-18,192.888e-18,192.888e-18
0,0,0,10,14e-9,0,70.3146e-18,359.81e-3,4.9636e-9,1.2844e-54,-1.0004e-21,209.562e-18,50.7811e-18,50.7811e-18
20e-3,0,0,10,14e-9,0,71.8692e-18,359.81e-3,9.6661e-9,-4.0673e-15,-1.9578e-21,212.673e-18,52.3366e-18,52.3366e-18
40e-3,0,0,10,14e-9,0,73.4568e-18,359.81e-3,18.8234e-9,-6.5357e-15,-3.8316e-21,215.852e-18,53.9261e-18,53.9261e-18
60e-3,0,0,10,14e-9,0,75.062e-18,359.81e-3,36.6543e-9,-7.5657e-15,-7.4991e-21,219.07e-18,55.535e-18,55.535e-18
80e-3,0,0,10,14e-9,0,76.6687e-18,359.81e-3,71.37e-9,-7.3154e-15,-14.6763e-21,222.298e-18,57.1489e-18,57.1489e-18
100e-3,0,0,10,14e-9,0,78.2627e-18,359.81e-3,138.944e-9,-5.9583e-15,-28.717e-21,225.514e-18,58.7569e-18,58.7569e-18
120e-3,0,0,10,14e-9,0,79.8361e-18,359.81e-3,270.414e-9,-3.7769e-15,-56.1624e-21,228.715e-18,60.3577e-18,60.3577e-18
140e-3,0,0,10,14e-9,0,81.3946e-18,359.81e-3,525.972e-9,-2.4880e-15,-109.719e-21,231.94e-18,61.9698e-18,61.9698e-18
160e-3,0,0,10,14e-9,0,82.97e-18,359.81e-3,1.0218e-6,-6.6486e-15,-213.879e-21,235.299e-18,63.6494e-18,63.6494e-18
180e-3,0,0,10,14e-9,0,84.6415e-18,359.81e-3,1.9809e-6,-13.9175e-15,-415.121e-21,239.044e-18,65.5221e-18,65.5221e-18
200e-3,0,0,10,14e-9,0,86.5688e-18,359.81e-3,3.8240e-6,-24.3309e-15,-799.077e-21,243.667e-18,67.8333e-18,67.8333e-18
220e-3,0,0,10,14e-9,0,89.0391e-18,359.81e-3,7.3241e-6,-39.3646e-15,-1.5146e-18,250.039e-18,71.0193e-18,71.0193e-18
240e-3,0,0,10,14e-9,0,92.5018e-18,359.81e-3,13.8302e-6,-61.8396e-15,-2.7937e-18,259.522e-18,75.761e-18,75.761e-18
260e-3,0,0,10,14e-9,0,97.5143e-18,359.81e-3,25.4933e-6,-96.6472e-15,-4.9267e-18,273.813e-18,82.9065e-18,82.9065e-18
280e-3,0,0,10,14e-9,0,104.486e-18,359.81e-3,45.2694e-6,-151.377e-15,-8.1367e-18,294.177e-18,93.0887e-18,93.0887e-18
300e-3,0,0,10,14e-9,0,113.296e-18,359.81e-3,76.3967e-6,-236.109e-15,-12.3833e-18,320.289e-18,106.145e-18,106.145e-18
320e-3,0,0,10,14e-9,0,123.202e-18,359.81e-3,121.417e-6,-362.075e-15,-17.3103e-18,349.955e-18,120.977e-18,120.977e-18
340e-3,0,0,10,14e-9,0,133.282e-18,359.81e-3,181.421e-6,-540.137e-15,-22.4572e-18,380.41e-18,136.205e-18,136.205e-18
360e-3,0,0,10,14e-9,0,142.911e-18,359.81e-3,256.024e-6,-780.335e-15,-27.4972e-18,409.746e-18,150.873e-18,150.873e-18
380e-3,0,0,10,14e-9,0,151.846e-18,359.81e-3,343.849e-6,-1.0924e-12,-32.2889e-18,437.2e-18,164.6e-18,164.6e-18
400e-3,0,0,10,14e-9,0,160.083e-18,359.81e-3,443.022e-6,-1.4869e-12,-36.8074e-18,462.712e-18,177.356e-18,177.356e-18
420e-3,0,0,10,14e-9,0,167.708e-18,359.81e-3,551.51e-6,-1.9754e-12,-41.0726e-18,486.491e-18,189.246e-18,189.246e-18
440e-3,0,0,10,14e-9,0,174.813e-18,359.81e-3,667.305e-6,-2.5712e-12,-45.1117e-18,508.78e-18,200.39e-18,200.39e-18
460e-3,0,0,10,14e-9,0,181.477e-18,359.81e-3,788.533e-6,-3.2895e-12,-48.9464e-18,529.778e-18,210.889e-18,210.889e-18
480e-3,0,0,10,14e-9,0,187.757e-18,359.81e-3,913.501e-6,-4.1477e-12,-52.5907e-18,549.626e-18,220.813e-18,220.813e-18
