vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
300e-3,0,500e-3,20,14e-9,226.694e-6,118.321e-18,355.714e-3,9.8754e-6,8.4797e-6,-23.3981e-18,508.723e-18,77.0524e-18,215.67e-18
320e-3,0,500e-3,20,14e-9,342.211e-6,120.275e-18,355.714e-3,15.4506e-6,14.1204e-6,-33.4534e-18,542.046e-18,78.8999e-18,247.146e-18
340e-3,0,500e-3,20,14e-9,485.335e-6,122.405e-18,355.714e-3,22.7111e-6,22.3526e-6,-44.3528e-18,576.638e-18,80.934e-18,279.704e-18
360e-3,0,500e-3,20,14e-9,652.387e-6,124.728e-18,355.714e-3,31.5492e-6,33.6935e-6,-55.3814e-18,610.414e-18,83.1804e-18,311.233e-18
380e-3,0,500e-3,20,14e-9,839.036e-6,127.253e-18,355.714e-3,41.7761e-6,48.5788e-6,-66.2532e-18,642.635e-18,85.6546e-18,340.98e-18
400e-3,0,500e-3,20,14e-9,1.0406e-3,129.991e-18,355.714e-3,53.1897e-6,67.3549e-6,-77.0607e-18,673.552e-18,88.3678e-18,369.184e-18
420e-3,0,500e-3,20,14e-9,1.2522e-3,132.952e-18,355.714e-3,65.608e-6,90.2721e-6,-88.1143e-18,703.898e-18,91.3326e-18,396.565e-18
440e-3,0,500e-3,20,14e-9,1.4683e-3,136.147e-18,355.714e-3,78.8796e-6,117.475e-6,-99.7971e-18,734.541e-18,94.5672e-18,423.973e-18
460e-3,0,500e-3,20,14e-9,1.6829e-3,139.591e-18,355.714e-3,92.8849e-6,148.995e-6,-112.444e-18,766.259e-18,98.094e-18,452.165e-18
480e-3,0,500e-3,20,14e-9,1.8900e-3,143.292e-18,355.714e-3,107.54e-6,184.742e-6,-126.224e-18,799.552e-18,101.934e-18,481.619e-18
500e-3,0,500e-3,20,14e-9,2.0842e-3,147.248e-18,355.714e-3,122.809e-6,224.51e-6,-141.05e-18,834.48e-18,106.094e-18,512.386e-18
520e-3,0,500e-3,20,14e-9,2.2613e-3,151.442e-18,355.714e-3,138.721e-6,267.998e-6,-156.597e-18,870.646e-18,110.563e-18,544.083e-18
540e-3,0,500e-3,20,14e-9,2.4185e-3,155.838e-18,355.714e-3,155.372e-6,314.832e-6,-172.423e-18,907.378e-18,115.304e-18,576.075e-18
560e-3,0,500e-3,20,14e-9,2.5543e-3,160.391e-18,355.714e-3,172.905e-6,364.596e-6,-188.12e-18,943.98e-18,120.266e-18,607.713e-18
580e-3,0,500e-3,20,14e-9,2.6686e-3,165.049e-18,355.714e-3,191.474e-6,416.862e-6,-203.392e-18,979.895e-18,125.393e-18,638.501e-18
600e-3,0,500e-3,20,14e-9,2.7621e-3,169.759e-18,355.714e-3,211.213e-6,471.203e-6,-218.059e-18,1.0147e-15,130.627e-18,668.119e-18
620e-3,0,500e-3,20,14e-9,2.8359e-3,174.47e-18,355.714e-3,232.222e-6,527.215e-6,-232.03e-18,1.0483e-15,135.911e-18,696.393e-18
640e-3,0,500e-3,20,14e-9,2.8917e-3,179.134e-18,355.714e-3,254.561e-6,584.521e-6,-245.269e-18,1.0804e-15,141.198e-18,723.247e-18
660e-3,0,500e-3,20,14e-9,2.9311e-3,183.711e-18,355.714e-3,278.257e-6,642.777e-6,-257.771e-18,1.1111e-15,146.444e-18,748.665e-18
680e-3,0,500e-3,20,14e-9,2.9558e-3,188.17e-18,355.714e-3,303.305e-6,701.67e-6,-269.55e-18,1.1402e-15,151.618e-18,772.662e-18
700e-3,0,500e-3,20,14e-9,2.9671e-3,192.49e-18,355.714e-3,329.674e-6,760.92e-6,-280.627e-18,1.1679e-15,156.699e-18,795.273e-18
720e-3,0,500e-3,20,14e-9,2.9667e-3,196.66e-18,355.714e-3,357.314e-6,820.278e-6,-291.027e-18,1.1942e-15,161.673e-18,816.541e-18
740e-3,0,500e-3,20,14e-9,2.9558e-3,200.677e-18,355.714e-3,386.156e-6,879.52e-6,-300.776e-18,1.2190e-15,166.538e-18,836.514e-18
760e-3,0,500e-3,20,14e-9,2.9355e-3,204.545e-18,355.714e-3,416.114e-6,938.449e-6,-309.9e-18,1.2425e-15,171.298e-18,855.242e-18
780e-3,0,500e-3,20,14e-9,2.9070e-3,208.277e-18,355.714e-3,447.091e-6,996.888e-6,-318.426e-18,1.2647e-15,175.961e-18,872.777e-18
800e-3,0,500e-3,20,14e-9,2.8711e-3,211.884e-18,355.714e-3,478.978e-6,1.0546e-3,-326.379e-18,1.2857e-15,180.542e-18,889.17e-18
0,0,500e-3,40,14e-9,33.9084e-9,200.769e-18,355.508e-3,1.3617e-9,1.0232e-9,-3.6572e-21,753.973e-18,118.848e-18,203.125e-18
20e-3,0,500e-3,40,14e-9,66.0321e-9,202.357e-18,355.508e-3,2.6519e-9,1.9866e-9,-7.1477e-21,761.783e-18,120.436e-18,209.348e-18
40e-3,0,500e-3,40,14e-9,128.585e-9,204.024e-18,355.508e-3,5.1641e-9,3.8633e-9,-13.9698e-21,769.808e-18,122.102e-18,215.707e-18
60e-3,0,500e-3,40,14e-9,250.378e-9,205.774e-18,355.508e-3,10.0559e-9,7.5181e-9,-27.3021e-21,777.996e-18,123.852e-18,222.144e-18
80e-3,0,500e-3,40,14e-9,487.473e-9,207.615e-18,355.508e-3,19.5794e-9,14.635e-9,-53.3527e-21,786.296e-18,125.692e-18,228.604e-18
100e-3,0,500e-3,40,14e-9,948.859e-9,209.553e-18,355.508e-3,38.1152e-9,28.4898e-9,-104.236e-21,794.674e-18,127.63e-18,235.045e-18
120e-3,0,500e-3,40,14e-9,1.8460e-6,211.597e-18,355.508e-3,74.1727e-9,55.4523e-9,-203.545e-21,803.135e-18,129.672e-18,241.464e-18
140e-3,0,500e-3,40,14e-9,3.5885e-6,213.755e-18,355.508e-3,144.242e-9,107.887e-9,-397.074e-21,811.768e-18,131.826e-18,247.942e-18
160e-3,0,500e-3,40,14e-9,6.9635e-6,216.035e-18,355.508e-3,280.129e-9,209.725e-9,-773.079e-21,820.82e-18,134.101e-18,254.719e-18
180e-3,0,500e-3,40,14e-9,13.468e-6,218.45e-18,355.508e-3,542.642e-9,407.014e-9,-1.4993e-18,830.824e-18,136.504e-18,262.32e-18
200e-3,0,500e-3,40,14e-9,25.8854e-6,221.01e-18,355.508e-3,1.0460e-6,787.388e-9,-2.8866e-18,842.815e-18,139.042e-18,271.774e-18
220e-3,0,500e-3,40,14e-9,49.1789e-6,223.729e-18,355.508e-3,1.9983e-6,1.5142e-6,-5.4818e-18,858.622e-18,141.719e-18,284.903e-18
240e-3,0,500e-3,40,14e-9,91.5441e-6,226.624e-18,355.508e-3,3.7562e-6,2.8808e-6,-10.159e-18,881.102e-18,144.541e-18,304.56e-18
260e-3,0,500e-3,40,14e-9,164.803e-6,229.716e-18,355.508e-3,6.872e-6,5.3814e-6,-18.0789e-18,913.838e-18,147.514e-18,334.324e-18
280e-3,0,500e-3,40,14e-9,282.544e-6,233.036e-18,355.508e-3,12.0679e-6,9.7701e-6,-30.2949e-18,959.617e-18,150.661e-18,376.957e-18
300e-3,0,500e-3,40,14e-9,455.464e-6,236.621e-18,355.508e-3,20.0721e-6,17.0528e-6,-47.0093e-18,1.0180e-15,154.03e-18,432.001e-18
320e-3,0,500e-3,40,14e-9,687.092e-6,240.519e-18,355.508e-3,31.3711e-6,28.3817e-6,-67.1557e-18,1.0847e-15,157.696e-18,495.035e-18
340e-3,0,500e-3,40,14e-9,973.874e-6,244.77e-18,355.508e-3,46.067e-6,44.905e-6,-88.9731e-18,1.1539e-15,161.735e-18,560.177e-18
360e-3,0,500e-3,40,14e-9,1.3084e-3,249.406e-18,355.508e-3,63.9383e-6,67.6554e-6,-111.039e-18,1.2214e-15,166.2e-18,623.234e-18
380e-3,0,500e-3,40,14e-9,1.6820e-3,254.448e-18,355.508e-3,84.6022e-6,97.5028e-6,-132.789e-18,1.2858e-15,171.122e-18,682.721e-18
400e-3,0,500e-3,40,14e-9,2.0856e-3,259.914e-18,355.508e-3,107.65e-6,135.138e-6,-154.416e-18,1.3476e-15,176.524e-18,739.13e-18
420e-3,0,500e-3,40,14e-9,2.5089e-3,265.826e-18,355.508e-3,132.714e-6,181.059e-6,-176.543e-18,1.4083e-15,182.43e-18,793.911e-18
440e-3,0,500e-3,40,14e-9,2.9411e-3,272.207e-18,355.508e-3,159.486e-6,235.555e-6,-199.937e-18,1.4696e-15,188.875e-18,848.763e-18
460e-3,0,500e-3,40,14e-9,3.3701e-3,279.083e-18,355.508e-3,187.721e-6,298.683e-6,-225.265e-18,1.5331e-15,195.905e-18,905.196e-18
480e-3,0,500e-3,40,14e-9,3.7841e-3,286.474e-18,355.508e-3,217.248e-6,370.261e-6,-252.861e-18,1.5997e-15,203.559e-18,964.16e-18
500e-3,0,500e-3,40,14e-9,4.1723e-3,294.374e-18,355.508e-3,247.989e-6,449.877e-6,-282.548e-18,1.6696e-15,211.854e-18,1.0257e-15
520e-3,0,500e-3,40,14e-9,4.5261e-3,302.748e-18,355.508e-3,280.001e-6,536.925e-6,-313.667e-18,1.7419e-15,220.764e-18,1.0891e-15
540e-3,0,500e-3,40,14e-9,4.8400e-3,311.527e-18,355.508e-3,313.474e-6,630.657e-6,-345.336e-18,1.8154e-15,230.218e-18,1.1532e-15
560e-3,0,500e-3,40,14e-9,5.1112e-3,320.619e-18,355.508e-3,348.693e-6,730.243e-6,-376.74e-18,1.8886e-15,240.116e-18,1.2165e-15
580e-3,0,500e-3,40,14e-9,5.3394e-3,329.922e-18,355.508e-3,385.966e-6,834.821e-6,-407.288e-18,1.9604e-15,250.342e-18,1.2780e-15
600e-3,0,500e-3,40,14e-9,5.5259e-3,339.329e-18,355.508e-3,425.56e-6,943.541e-6,-436.624e-18,2.0301e-15,260.782e-18,1.3373e-15
620e-3,0,500e-3,40,14e-9,5.6732e-3,348.737e-18,355.508e-3,467.677e-6,1.0556e-3,-464.565e-18,2.0971e-15,271.325e-18,1.3938e-15
640e-3,0,500e-3,40,14e-9,5.7845e-3,358.052e-18,355.508e-3,512.438e-6,1.1702e-3,-491.041e-18,2.1614e-15,281.873e-18,1.4475e-15
