vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
120e-3,0,220e-3,2,14e-9,67.196e-9,38.5636e-18,-359.518e-3,3.0302e-9,-2.0311e-9,-11.7061e-21,44.1874e-18,15.8552e-18,19.2122e-18
140e-3,0,220e-3,2,14e-9,130.091e-9,38.7912e-18,-359.518e-3,5.8693e-9,-3.9354e-9,-22.8765e-21,44.8056e-18,16.0825e-18,19.603e-18
160e-3,0,220e-3,2,14e-9,251.485e-9,39.0349e-18,-359.518e-3,11.3572e-9,-7.6194e-9,-44.6131e-21,45.4687e-18,16.3256e-18,20.0231e-18
180e-3,0,220e-3,2,14e-9,484.789e-9,39.2953e-18,-359.518e-3,21.9337e-9,-14.731e-9,-86.6537e-21,46.2056e-18,16.5849e-18,20.5008e-18
200e-3,0,220e-3,2,14e-9,929.568e-9,39.5734e-18,-359.518e-3,42.2053e-9,-28.4035e-9,-167.025e-21,47.0731e-18,16.8607e-18,21.0924e-18
220e-3,0,220e-3,2,14e-9,1.7649e-6,39.87e-18,-359.518e-3,80.6652e-9,-54.4904e-9,-317.391e-21,48.1724e-18,17.1534e-18,21.8991e-18
240e-3,0,220e-3,2,14e-9,3.2933e-6,40.1864e-18,-359.518e-3,152.329e-9,-103.586e-9,-588.104e-21,49.6622e-18,17.463e-18,23.0792e-18
260e-3,0,220e-3,2,14e-9,5.9702e-6,40.5247e-18,-359.518e-3,281.945e-9,-193.851e-9,-1.0454e-18,51.7414e-18,17.7909e-18,24.8305e-18
280e-3,0,220e-3,2,14e-9,10.3667e-6,40.8884e-18,-359.518e-3,506.254e-9,-353.867e-9,-1.7484e-18,54.5636e-18,18.1412e-18,27.3025e-18
300e-3,0,220e-3,2,14e-9,17.0141e-6,41.2822e-18,-359.518e-3,872.976e-9,-623.582e-9,-2.7072e-18,58.1066e-18,18.5222e-18,30.4645e-18
320e-3,0,220e-3,2,14e-9,26.2009e-6,41.7112e-18,-359.518e-3,1.4362e-6,-1.0514e-6,-3.8607e-18,62.1324e-18,18.945e-18,34.0673e-18
