vgs,vds,vsb,fins,length,id,gm,gds,cdd,cgg
0.54,0.04,0.0,2.0,1.0,8.525e-06,4.6971978120422e-05,0.0001876,3.8881552597350034e-17,1.1721761558718092e-16
0.56,0.04,0.0,2.0,1.0,9.463e-06,4.665766033706179e-05,0.0002108,4.0011552693302495e-17,1.206076158750383e-16
0.58,0.04,0.0,2.0,1.0,1.039e-05,4.61470598903697e-05,0.000234,4.109380630632738e-17,1.238066302311854e-16
0.6,0.04,0.0,2.0,1.0,1.131e-05,4.580414018157961e-05,0.0002571,4.211239794211551e-17,1.268305741499314e-16
0.62,0.04,0.0,2.0,1.0,1.222e-05,4.513585834174693e-05,0.0002799,4.306732760066688e-17,1.2969536312558552e-16
0.64,0.04,0.0,2.0,1.0,1.311e-05,4.365162484902671e-05,0.0003023,4.397451077629068e-17,1.3238508166383854e-16
0.66,0.04,0.0,2.0,1.0,1.397e-05,4.2758043063348676e-05,0.0003243,4.481803197467773e-17,1.3491564525899968e-16
0.68,0.04,0.0,2.0,1.0,1.482e-05,4.18162028975765e-05,0.0003458,4.5629722184446396e-17,1.3728705391106893e-16
0.7,0.04,0.0,2.0,1.0,1.564e-05,4.047674454515281e-05,0.0003667,4.639366591128749e-17,1.3953113860866466e-16
0.72,0.04,0.0,2.0,1.0,1.644e-05,3.927681892181827e-05,0.0003871,4.710986315520102e-17,1.4161606836316849e-16
0.74,0.04,0.0,2.0,1.0,1.721e-05,3.791597976757017e-05,0.0004068,4.777831391618699e-17,1.435736741631988e-16
0.76,0.04,0.0,2.0,1.0,1.796e-05,3.7059662809092156e-05,0.000426,4.841493368855457e-17,1.4541987150306478e-16
0.78,0.04,0.0,2.0,1.0,1.869e-05,3.584496819485147e-05,0.0004446,4.9019722472303766e-17,1.4713874488845725e-16
0.8,0.04,0.0,2.0,1.0,1.939e-05,3.4101062055511755e-05,0.0004627,4.95767647731254e-17,1.487302943193762e-16
0.0,0.06,0.0,2.0,1.0,2.147e-11,8.010195367604921e-10,1.133e-10,1.3827381455823868e-17,4.1046059823399814e-17
0.02,0.06,0.0,2.0,1.0,4.2e-11,1.3867907491784634e-09,2.215e-10,1.4104311056803765e-17,4.1634933112839824e-17
0.04,0.06,0.0,2.0,1.0,8.215e-11,2.7591712062996823e-09,4.331e-10,1.4395564602661933e-17,4.223972189658903e-17
0.06,0.06,0.0,2.0,1.0,1.607e-10,5.3837460666833195e-09,8.471e-10,1.4696367445105617e-17,4.2860426174647413e-17
0.08,0.06,0.0,2.0,1.0,3.143e-10,1.0532689211992543e-08,1.657e-09,1.500831113356573e-17,4.3497045947014994e-17
0.1,0.06,0.0,2.0,1.0,6.147e-10,2.059398805880277e-08,3.241e-09,1.5325029470318605e-17,4.413366571938258e-17
0.12,0.06,0.0,2.0,1.0,1.202e-09,4.026294771453128e-08,6.34e-09,1.564652245536423e-17,4.477028549175016e-17
0.14,0.06,0.0,2.0,1.0,2.35e-09,7.868152966793408e-08,1.24e-08,1.5963240792117105e-17,4.542282075842693e-17
0.16,0.06,0.0,2.0,1.0,4.591e-09,1.534236309456986e-07,2.425e-08,1.6281550678300895e-17,4.60753560251037e-17
0.18,0.06,0.0,2.0,1.0,8.957e-09,2.9879514883263495e-07,4.739e-08,1.6599860564484685e-17,4.6759722280398856e-17
0.2,0.06,0.0,2.0,1.0,1.744e-08,5.789759137737259e-07,9.257e-08,1.6918170450668475e-17,4.753958150154914e-17
0.22,0.06,0.0,2.0,1.0,3.379e-08,1.1106789711949295e-06,1.806e-07,1.7220564842543076e-17,4.8510426654409705e-17
0.24,0.06,0.0,2.0,1.0,6.493e-08,2.1025722487771533e-06,3.513e-07,1.7554790223036055e-17,4.983141268207243e-17
0.26,0.06,0.0,2.0,1.0,1.23e-07,3.8617881446622445e-06,6.799e-07,1.7936762086456605e-17,5.174127199917518e-17
0.28,0.06,0.0,2.0,1.0,2.272e-07,6.792637695757661e-06,1.304e-06,1.841422691573229e-17,5.4494652514664967e-17
0.3,0.06,0.0,2.0,1.0,4.048e-07,1.1240028605005035e-05,2.462e-06,1.9066762182409063e-17,5.818704719439694e-17
0.32,0.06,0.0,2.0,1.0,6.876e-07,1.730970078757607e-05,4.53e-06,1.9973945358032866e-17,6.275479406113433e-17
