vsg,vsd,vsb,fins,length,id,gm,gds,cdd,cgg
0.02,0.08,0.0,2.0,1.0,-5.416e-11,1.774036492834286e-09,1.616e-10,4.101422883478143e-17,4.28922571632658e-17
0.04,0.08,0.0,2.0,1.0,-1.054e-10,3.5166297187876267e-09,3.146e-10,4.126887674372846e-17,4.348113045270581e-17
0.06,0.08,0.0,2.0,1.0,-2.053e-10,6.833234609179539e-09,6.126e-10,4.1555355641293875e-17,4.4085919236455016e-17
0.08,0.08,0.0,2.0,1.0,-3.997e-10,1.3300860295968773e-08,1.193e-09,4.184183453885929e-17,4.473845450313178e-17
0.1,0.08,0.0,2.0,1.0,-7.782e-10,2.5908897342643843e-08,2.322e-09,4.2144228930733884e-17,4.540690526411774e-17
0.12,0.08,0.0,2.0,1.0,-1.515e-09,5.037903528286973e-08,4.521e-09,4.247845431122687e-17,4.60912715194129e-17
0.14,0.08,0.0,2.0,1.0,-2.947e-09,9.793478914128024e-08,8.801e-09,4.281267969171985e-17,4.6823384257635613e-17
0.16,0.08,0.0,2.0,1.0,-5.731e-09,1.9035875396669265e-07,1.713e-08,4.316282056652202e-17,4.760324347878589e-17
0.18,0.08,0.0,2.0,1.0,-1.113e-08,3.68227248952814e-07,3.33e-08,4.3512961441324186e-17,4.8430849182863756e-17
0.2,0.08,0.0,2.0,1.0,-2.155e-08,7.098610074577561e-07,6.469e-08,4.3879017810435547e-17,4.940169433572432e-17
0.22,0.08,0.0,2.0,1.0,-4.154e-08,1.354341706674085e-06,1.254e-07,4.42609896738561e-17,5.0595356408913536e-17
0.24,0.08,0.0,2.0,1.0,-7.935e-08,2.5436767741579417e-06,2.421e-07,4.465887703158584e-17,5.2186905839832487e-17
0.26,0.08,0.0,2.0,1.0,-1.493e-07,4.636423339507622e-06,4.643e-07,4.5072679883624764e-17,5.44469060317374e-17
0.28,0.08,0.0,2.0,1.0,-2.738e-07,8.080280567059337e-06,8.816e-07,4.556606020720964e-17,5.756634291633855e-17
0.3,0.08,0.0,2.0,1.0,-4.841e-07,1.3265169820395914e-05,1.649e-06,4.6170848990958847e-17,6.162479396518188e-17
0.32,0.08,0.0,2.0,1.0,-8.167e-07,2.0296881831876296e-05,3.025e-06,4.696662370641831e-17,6.644718874086631e-17
0.34,0.08,0.0,2.0,1.0,-1.306e-06,2.8834603450996047e-05,5.397e-06,4.80488773194432e-17,7.181071032306318e-17
0.36,0.08,0.0,2.0,1.0,-1.975e-06,3.8110918791780735e-05,9.27e-06,4.948127180727027e-17,7.747662629713466e-17
0.38,0.08,0.0,2.0,1.0,-2.831e-06,4.747181356615744e-05,1.515e-05,5.1231976181281117e-17,8.325395073137046e-17
0.4,0.08,0.0,2.0,1.0,-3.869e-06,5.610078486046607e-05,2.337e-05,5.318958198131142e-17,8.89516976940603e-17
0.42,0.08,0.0,2.0,1.0,-5.068e-06,6.367340370705288e-05,3.402e-05,5.5210849758578496e-17,9.437888125349394e-17
0.44,0.08,0.0,2.0,1.0,-6.408e-06,7.005371654567448e-05,4.694e-05,5.716845555860881e-17,9.942409294950703e-17
0.46,0.08,0.0,2.0,1.0,-7.862e-06,7.520984634460127e-05,6.186e-05,5.898282190985642e-17,1.0402367080486279e-16
0.48,0.08,0.0,2.0,1.0,-9.41e-06,7.940521471087164e-05,7.846e-05,6.065394881232132e-17,1.0820944580817964e-16
0.5,0.08,0.0,2.0,1.0,-1.103e-05,8.236753128662836e-05,9.644e-05,6.216592077169432e-17,1.1199733345376676e-16
0.52,0.08,0.0,2.0,1.0,-1.27e-05,8.46233775787694e-05,0.0001155,6.353465328228462e-17,1.1546691121317008e-16
0.54,0.08,0.0,2.0,1.0,-1.441e-05,8.613775599468912e-05,0.0001354,6.47919773327106e-17,1.1863409458069878e-16
0.56,0.08,0.0,2.0,1.0,-1.614e-05,8.68243960388728e-05,0.0001559,6.593789292297224e-17,1.2156254553358967e-16
0.58,0.08,0.0,2.0,1.0,-1.788e-05,8.706385824741009e-05,0.0001768,6.698831554737875e-17,1.242681795661519e-16
0.6,0.08,0.0,2.0,1.0,-1.962e-05,8.69193693690796e-05,0.0001979,6.795916070023931e-17,1.2678282766700382e-16
0.62,0.08,0.0,2.0,1.0,-2.135e-05,8.575746187266397e-05,0.0002191,6.886634387586312e-17,1.2913832082476388e-16
0.64,0.08,0.0,2.0,1.0,-2.305e-05,8.455038233905871e-05,0.0002402,6.970986507425017e-17,1.3135057453374125e-16
0.66,0.08,0.0,2.0,1.0,-2.473e-05,8.304060796989515e-05,0.0002612,7.048972429540045e-17,1.3341958879393589e-16
0.68,0.08,0.0,2.0,1.0,-2.637e-05,8.128678498015592e-05,0.0002819,7.123775252793235e-17,1.353771945939662e-16
0.7,0.08,0.0,2.0,1.0,-2.798e-05,7.931185130828682e-05,0.0003022,7.19380342775367e-17,1.3723930742814134e-16
0.72,0.08,0.0,2.0,1.0,-2.954e-05,7.696540898549566e-05,0.0003221,7.259056954421347e-17,1.389900118021522e-16
0.74,0.08,0.0,2.0,1.0,-3.106e-05,7.482651274973329e-05,0.0003415,7.321127382227186e-17,1.406770541989263e-16
